ID,Model Technical Name,Display Name,Type,State
91,change.password.wizard,Change Password Wizard,Transient,base
281,change.production.qty,Change Production Qty,Transient,base
1308,choose.delivery.carrier,Delivery Carrier Selection Wizard,Transient,base
1307,choose.delivery.package,Delivery Package Selection Wizard,Transient,base
285,confirm.stock.sms,Confirm Stock SMS,Transient,base
1206,credit.limit.report,Credit Limit Report,Transient,base
350,crm.activity.report,CRM Activity Analysis,Regular,base
1171,crm.iap.lead.helpers,Helper methods for crm_iap_mine modules,Regular,base
1168,crm.iap.lead.industry,CRM IAP Lead Industry,Regular,base
1172,crm.iap.lead.mining.request,CRM Lead Mining Request,Regular,base
1169,crm.iap.lead.role,People Role,Regular,base
1170,crm.iap.lead.seniority,People Seniority,Regular,base
344,crm.lead,Lead/Opportunity,Regular,base
2644,crm.lead.convert2ticket,Lead convert to Ticket,Transient,base
351,crm.lead.lost,Get Lost Reason,Transient,base
1532,crm.lead.pls.update,Update the probabilities,Transient,base
348,crm.lead.scoring.frequency,Lead Scoring Frequency,Regular,base
349,crm.lead.scoring.frequency.field,Fields that can be used for predictive lead scoring computation,Regular,base
472,crm.lead.source,Opportunity source description,Regular,base
353,crm.lead2opportunity.partner,Convert Lead to Opportunity (not in mass),Transient,base
354,crm.lead2opportunity.partner.mass,Convert Lead to Opportunity (in mass),Transient,base
347,crm.lost.reason,Opp. Lost Reason,Regular,base
355,crm.merge.opportunity,Merge Opportunities,Transient,base
417,crm.quotation.partner,Create new or use existing Customer on new Quotation,Transient,base
1034,crm.recurring.plan,CRM Recurring revenue plans,Regular,base
473,crm.specification,Lead Specification,Regular,base
345,crm.stage,CRM Stages,Regular,base
346,crm.tag,CRM Tag,Regular,base
205,crm.team,Sales Team,Regular,base
1474,crm.team.member,Sales Team Member,Regular,base
423,crossovered.budget,Budget,Regular,base
424,crossovered.budget.lines,Budget Line,Regular,base
93,decimal.precision,Decimal Precision,Regular,base
1305,delivery.carrier,Shipping Methods,Regular,base
1306,delivery.price.rule,Delivery Price Rules,Regular,base
1795,delivery.zip.prefix,Delivery Zip Prefix,Regular,base
261,digest.digest,Digest,Regular,base
262,digest.tip,Digest Tips,Regular,base
164,discuss.channel,Discussion Channel,Regular,base
162,discuss.channel.member,Channel Member,Regular,base
1442,discuss.channel.rtc.session,Mail RTC session,Regular,base
1873,discuss.gif.favorite,Save favorite GIF from Tenor API,Regular,base
1874,discuss.voice.metadata,Metadata for voice attachments,Regular,base
823,documents.account.folder.setting,Journal and Folder settings,Regular,base
814,documents.document,Document,Regular,base
818,documents.facet,Category,Regular,base
816,documents.folder,Documents Workspace,Regular,base
1533,documents.link_to_record_wizard,Documents Link to Record,Transient,base
815,documents.mixin,Documents creation mixin,Regular,base
822,documents.request_wizard,Document Request,Transient,base
817,documents.share,Documents Share,Regular,base
1975,documents.shared.spreadsheet,Copy of a shared spreadsheet,Regular,base
819,documents.tag,Tag,Regular,base
821,documents.workflow.action,Document Workflow Tag Action,Regular,base
820,documents.workflow.rule,A set of condition and actions which will be available to all attachments matching the conditions,Regular,base
1905,extract.mixin,Base class to extract data from documents,Regular,base
185,fetchmail.server,Incoming Mail Server,Regular,base
75,format.address.mixin,Address Format,Regular,base
444,gamification.badge,Gamification Badge,Regular,base
443,gamification.badge.user,Gamification User Badge,Regular,base
447,gamification.badge.user.wizard,Gamification User Badge Wizard,Transient,base
441,gamification.challenge,Gamification Challenge,Regular,base
442,gamification.challenge.line,Gamification generic goal for challenge,Regular,base
440,gamification.goal,Gamification Goal,Regular,base
439,gamification.goal.definition,Gamification Goal Definition,Regular,base
446,gamification.goal.wizard,Gamification Goal Wizard,Transient,base
445,gamification.karma.rank,Rank based on karma,Regular,base
941,gamification.karma.tracking,Track Karma Changes,Regular,base
1205,gen.journal.entry,gen.journal.entry,Transient,base
1209,google.calendar.account.reset,Google Calendar Account Reset,Transient,base
1476,google.calendar.credentials,Google Calendar Account Data,Regular,base
1208,google.calendar.sync,Synchronize a record with Google Calendar,Regular,base
2628,google.map.view.mixins,Google Map View Mixins,Regular,base
496,google.service,Google Service,Regular,base
2638,helpdesk.sla,Helpdesk SLA Policies,Regular,base
2641,helpdesk.sla.report.analysis,SLA Status Analysis,Regular,base
2636,helpdesk.sla.status,Ticket SLA Status,Regular,base
2635,helpdesk.stage,Helpdesk Stage,Regular,base
2643,helpdesk.stage.delete.wizard,Helpdesk Stage Delete Wizard,Transient,base
2639,helpdesk.tag,Helpdesk Tags,Regular,base
2634,helpdesk.team,Helpdesk Team,Regular,base
2637,helpdesk.ticket,Helpdesk Ticket,Regular,base
2646,helpdesk.ticket.convert.wizard,Convert Helpdesk Tickets to Tasks,Transient,base
2642,helpdesk.ticket.report.analysis,Ticket Analysis,Regular,base
2645,helpdesk.ticket.to.lead,Convert Ticket to Lead,Transient,base
2640,helpdesk.ticket.type,Helpdesk Ticket Type,Regular,base
1348,hr.applicant,Applicant,Regular,base
1349,hr.applicant.category,Category of applicant,Regular,base
1350,hr.applicant.refuse.reason,Refuse Reason of Applicant,Regular,base
2674,hr.appraisal,Employee Appraisal,Regular,base
2675,hr.appraisal.goal,Appraisal Goal,Regular,base
2677,hr.appraisal.goal.tag,Appraisal Goal Tags,Regular,base
2676,hr.appraisal.note,Appraisal Assessment Note,Regular,base
2678,hr.appraisal.report,Appraisal Statistics,Regular,base
1220,hr.attendance,Attendance,Regular,base
1477,hr.attendance.overtime,Attendance Overtime,Regular,base
1665,hr.contract.type,Contract Type,Regular,base
1214,hr.department,Department,Regular,base
1464,hr.departure.reason,Departure Reason,Regular,base
1219,hr.departure.wizard,Departure Wizard,Transient,base
1211,hr.employee,Employee,Regular,base
1210,hr.employee.base,Basic Employee,Regular,base
1212,hr.employee.category,Employee Category,Regular,base
1213,hr.employee.public,Public Employee,Regular,base
1674,hr.holidays.cancel.leave,Cancel Time Off Wizard,Transient,base
1227,hr.holidays.summary.employee,HR Time Off Summary Report By Employee,Transient,base
1215,hr.job,Job Position,Regular,base
1221,hr.leave,Time Off,Regular,base
1480,hr.leave.accrual.level,Accrual Plan Level,Regular,base
1481,hr.leave.accrual.plan,Accrual Plan,Regular,base
1222,hr.leave.allocation,Time Off Allocation,Regular,base
1482,hr.leave.employee.type.report,Time Off Summary / Report,Regular,base
1673,hr.leave.mandatory.day,Mandatory Day,Regular,base
1225,hr.leave.report,Time Off Summary / Report,Regular,base
1226,hr.leave.report.calendar,Time Off Calendar,Regular,base
1223,hr.leave.type,Time Off Type,Regular,base
1366,hr.licence,Employee license management,Regular,base
1347,hr.recruitment.degree,Applicant Degree,Regular,base
1354,hr.recruitment.report,Recruitment Analysis Report,Regular,base
1345,hr.recruitment.source,Source of Applicants,Regular,base
1346,hr.recruitment.stage,Recruitment Stages,Regular,base
1747,hr.recruitment.stage.report,Recruitment Stage Analysis,Regular,base
1466,hr.work.location,Work Location,Regular,base
1882,html.field.history.mixin,Field html History,Regular,base
145,iap.account,IAP Account,Regular,base
1844,iap.account.info,IAP Account Info,Transient,base
1484,iap.autocomplete.api,IAP Partner Autocomplete API,Regular,base
707,iap.enrich.api,IAP Lead Enrichment API,Regular,base
70,image.mixin,Image Mixin,Regular,base
21,ir.actions.act_url,Action URL,Regular,base
18,ir.actions.act_window,Action Window,Regular,base
19,ir.actions.act_window.view,Action Window View,Regular,base
20,ir.actions.act_window_close,Action Window Close,Regular,base
17,ir.actions.actions,Actions,Regular,base
25,ir.actions.client,Client Action,Regular,base
26,ir.actions.report,Report Action,Regular,base
22,ir.actions.server,Server Action,Regular,base
24,ir.actions.todo,Configuration Wizards,Regular,base
1407,ir.asset,Asset,Regular,base
27,ir.attachment,Attachment,Regular,base
36,ir.autovacuum,Automatic Vacuum,Regular,base
1609,ir.binary,File streaming helper model for controllers,Regular,base
35,ir.config_parameter,System Parameter,Regular,base
28,ir.cron,Scheduled Actions,Regular,base
1412,ir.cron.trigger,Triggered actions,Regular,base
30,ir.default,Default Values,Regular,base
65,ir.demo,Demo,Transient,base
66,ir.demo_failure,Demo failure,Transient,base
67,ir.demo_failure.wizard,Demo Failure wizard,Transient,base
32,ir.exports,Exports,Regular,base
33,ir.exports.line,Exports Line,Regular,base
38,ir.fields.converter,Fields Converter,Regular,base
29,ir.filters,Filters,Regular,base
58,ir.http,HTTP Routing,Regular,base
59,ir.logging,Logging,Regular,base
37,ir.mail_server,Mail Server,Regular,base
3,ir.model,Models,Regular,base
8,ir.model.access,Model Access,Regular,base
6,ir.model.constraint,Model Constraint,Regular,base
9,ir.model.data,Model Data,Regular,base
4,ir.model.fields,Fields,Regular,base
5,ir.model.fields.selection,Fields Selection,Regular,base
1809,ir.model.inherit,Model Inheritance Tree,Regular,base
7,ir.model.relation,Relation Model,Regular,base
61,ir.module.category,Application,Regular,base
62,ir.module.module,Module,Regular,base
63,ir.module.module.dependency,Module dependency,Regular,base
64,ir.module.module.exclusion,Module exclusion,Regular,base
1419,ir.profile,Profiling results,Regular,base
60,ir.property,Company Property,Regular,base
39,ir.qweb,Qweb,Regular,base
40,ir.qweb.field,Qweb Field,Regular,base
55,ir.qweb.field.barcode,Qweb Field Barcode,Regular,base
56,ir.qweb.field.contact,Qweb Field Contact,Regular,base
43,ir.qweb.field.date,Qweb Field Date,Regular,base
44,ir.qweb.field.datetime,Qweb Field Datetime,Regular,base
53,ir.qweb.field.duration,Qweb Field Duration,Regular,base
42,ir.qweb.field.float,Qweb Field Float,Regular,base
52,ir.qweb.field.float_time,Qweb Field Float Time,Regular,base
49,ir.qweb.field.html,Qweb Field HTML,Regular,base
50,ir.qweb.field.image,Qweb Field Image,Regular,base
856,ir.qweb.field.image_url,Qweb Field Image,Regular,base
41,ir.qweb.field.integer,Qweb Field Integer,Regular,base
48,ir.qweb.field.many2many,Qweb field many2many,Regular,base
47,ir.qweb.field.many2one,Qweb Field Many to One,Regular,base
51,ir.qweb.field.monetary,Qweb Field Monetary,Regular,base
3095,ir.qweb.field.one2many,Qweb field one2many,Regular,base
57,ir.qweb.field.qweb,Qweb Field qweb,Regular,base
54,ir.qweb.field.relative,Qweb Field Relative,Regular,base
46,ir.qweb.field.selection,Qweb Field Selection,Regular,base
45,ir.qweb.field.text,Qweb Field Text,Regular,base
1615,ir.qweb.field.time,QWeb Field Time,Regular,base
34,ir.rule,Rule,Regular,base
11,ir.sequence,Sequence,Regular,base
12,ir.sequence.date_range,Sequence Date Range,Regular,base
13,ir.ui.menu,Menu,Regular,base
15,ir.ui.view,View,Regular,base
14,ir.ui.view.custom,Custom View,Regular,base
1628,ir.websocket,websocket message handling,Regular,base
1137,ir_actions_account_report_download,Technical model for accounting report downloads,Regular,base
3104,kpi.provider,KPI Provider,Regular,base
1299,lead.closemonth,lead.closemonth,Regular,base
802,link.tracker,Link Tracker,Regular,base
804,link.tracker.click,Link Tracker Click,Regular,base
803,link.tracker.code,Link Tracker Code,Regular,base
1194,lost.message.parent,Lost Message Parent,Regular,base
1738,lot.label.layout,Choose the sheet layout to print lot labels,Transient,base
154,mail.activity,Activity,Regular,base
155,mail.activity.mixin,Activity Mixin,Regular,base
1855,mail.activity.plan,Activity Plan,Regular,base
1856,mail.activity.plan.template,Activity plan template,Regular,base
1877,mail.activity.schedule,Activity schedule plan Wizard,Transient,base
1981,mail.activity.todo.create,Create activity and todo at the same time,Transient,base
153,mail.activity.type,Activity Type,Regular,base
148,mail.alias,Email Aliases,Regular,base
1846,mail.alias.domain,Email Domain,Regular,base
149,mail.alias.mixin,Email Aliases Mixin,Regular,base
1847,mail.alias.mixin.optional,Email Aliases Mixin (light),Regular,base
160,mail.blacklist,Mail Blacklist,Regular,base
920,mail.blacklist.remove,Remove email from blacklist wizard,Transient,base
169,mail.compose.message,Email composition wizard,Transient,base
1434,mail.composer.mixin,Mail Composer Mixin,Regular,base
150,mail.followers,Document Followers,Regular,base
1636,mail.gateway.allowed,Mail Gateway Allowed,Regular,base
1491,mail.group,Mail Group,Regular,base
1492,mail.group.member,Mailing List Member,Regular,base
1493,mail.group.message,Mailing List Message,Regular,base
1495,mail.group.message.reject,Reject Group Message,Transient,base
163,mail.group.moderation,Mailing List black/white list,Regular,base
1443,mail.guest,Guest,Regular,base
1444,mail.ice.server,ICE server,Regular,base
1637,mail.link.preview,Store link preview data,Regular,base
156,mail.mail,Outgoing Mails,Regular,base
152,mail.message,Message,Regular,base
708,mail.message.attach.wizard,Attach Message,Transient,base
1438,mail.message.reaction,Message Reaction,Regular,base
1638,mail.message.schedule,Scheduled Messages,Regular,base
146,mail.message.subtype,Message subtypes,Regular,base
1857,mail.message.translation,Message Translation,Regular,base
151,mail.notification,Message Notifications,Regular,base
1869,mail.notification.web.push,Cron data used for web push notification,Regular,base
1870,mail.partner.device,Partner Web Push Device,Regular,base
903,mail.render.mixin,Mail Render Mixin,Regular,base
171,mail.resend.message,Email resend wizard,Transient,base
172,mail.resend.partner,Partner with additional information for mail resend,Transient,base
166,mail.shortcode,Canned Response / Shortcode,Regular,base
165,mail.template,Email Templates,Regular,base
923,mail.template.preview,Email Template Preview,Transient,base
1650,mail.template.reset,Mail Template Reset,Transient,base
157,mail.thread,Email Thread,Regular,base
161,mail.thread.blacklist,Mail Blacklist mixin,Regular,base
158,mail.thread.cc,Email CC management,Regular,base
1852,mail.thread.main.attachment,Mail Main Attachment management,Regular,base
190,mail.thread.phone,Phone Blacklist Mixin,Regular,base
1853,mail.tracking.duration.mixin,Mixin to compute the time a record has spent in each value a many2one field can take,Regular,base
147,mail.tracking.value,Mail Tracking Value,Regular,base
168,mail.wizard.invite,Invite wizard,Transient,base
806,mailing.contact,Mailing Contact,Regular,base
1729,mailing.contact.import,Mailing Contact Import,Transient,base
1540,mailing.contact.to.list,Add Contacts to Mailing List,Transient,base
1726,mailing.filter,Mailing Favorite Filters,Regular,base
807,mailing.list,Mailing List,Regular,base
811,mailing.list.merge,Merge Mass Mailing List,Transient,base
809,mailing.mailing,Mass Mailing,Regular,base
1541,mailing.mailing.schedule.date,schedule a mailing,Transient,base
813,mailing.mailing.test,Sample Mail Wizard,Transient,base
2672,mailing.sms.test,Test SMS Mailing,Transient,base
805,mailing.subscription,Mailing List Subscription,Regular,base
1927,mailing.subscription.optout,Mailing Subscription Reason,Regular,base
808,mailing.trace,Mailing Statistics,Regular,base
810,mailing.trace.report,Mass Mailing Statistics,Regular,base
1399,maintenance.equipment,Maintenance Equipment,Regular,base
1398,maintenance.equipment.category,Maintenance Equipment Category,Regular,base
1887,maintenance.mixin,Maintenance Maintained Item,Regular,base
1400,maintenance.request,Maintenance Request,Regular,base
1397,maintenance.stage,Maintenance Stage,Regular,base
1401,maintenance.team,Maintenance Teams,Regular,base
3208,mcp.enabled.model,MCP Enabled Model,Regular,base
3209,mcp.log,MCP Server Activity Log,Regular,base
3210,mcp.model.selection.wizard,MCP Model Selection Wizard,Transient,base
2275,message.edit.history,Mail Message Edit History,Regular,base
266,mrp.bom,Bill of Material,Regular,base
268,mrp.bom.byproduct,Byproduct,Regular,base
267,mrp.bom.line,Bill of Material Line,Regular,base
1095,mrp.consumption.warning,Wizard in case of consumption in warning/strict and more component has been used for a MO (related to the bom),Transient,base
1096,mrp.consumption.warning.line,Line of issue consumption,Transient,base
263,mrp.document,Production Document,Regular,base
275,mrp.production,Production Order,Regular,base
1094,mrp.production.backorder,Wizard to mark as done or create back order,Transient,base
1093,mrp.production.backorder.line,Backorder Confirmation Line,Transient,base
1750,mrp.production.split,Wizard to Split a Production,Transient,base
1751,mrp.production.split.line,Split Production Detail,Transient,base
1749,mrp.production.split.multi,Wizard to Split Multiple Productions,Transient,base
1596,mrp.report,Manufacturing Report,Regular,base
270,mrp.routing.workcenter,Work Center Usage,Regular,base
276,mrp.unbuild,Unbuild Order,Regular,base
271,mrp.workcenter,Work Center,Regular,base
1748,mrp.workcenter.capacity,Work Center Capacity,Regular,base
274,mrp.workcenter.productivity,Workcenter Productivity Log,Regular,base
273,mrp.workcenter.productivity.loss,Workcenter Productivity Losses,Regular,base
272,mrp.workcenter.productivity.loss.type,MRP Workorder productivity losses,Regular,base
1579,mrp.workcenter.tag,Add tag for the workcenter,Regular,base
277,mrp.workorder,Work Order,Regular,base
1984,mrp_production.additional.workorder,Additional Workorder,Transient,base
1141,mrp_workorder.additional.product,Additional Product,Transient,base
1987,onboarding.onboarding,Onboarding,Regular,base
1988,onboarding.onboarding.step,Onboarding Step,Regular,base
1986,onboarding.progress,Onboarding Progress Tracker,Regular,base
1989,onboarding.progress.step,Onboarding Progress Step Tracker,Regular,base
754,partner.activity.report,Partner Activity Analysis,Regular,base
1999,payment.capture.wizard,Payment Capture Wizard,Transient,base
369,payment.link.wizard,Generate Sales Payment Link,Transient,base
365,payment.method,Payment Method,Regular,base
364,payment.provider,Payment Provider,Regular,base
368,payment.provider.onboarding.wizard,Payment provider onboarding wizard,Transient,base
1584,payment.refund.wizard,Payment Refund Wizard,Transient,base
367,payment.token,Payment Token,Regular,base
366,payment.transaction,Payment Transaction,Regular,base
764,pending.activity.report,Pending Activity Report,Regular,base
188,phone.blacklist,Phone Blacklist,Regular,base
946,phone.blacklist.remove,Remove phone from blacklist,Transient,base
1737,picking.label.type,Choose whether to print product or lot/sn labels,Transient,base
1732,planning.analysis.report,Planning Analysis Report,Regular,base
1245,planning.planning,Schedule,Regular,base
1242,planning.recurrency,Planning Recurrence,Regular,base
1244,planning.role,Planning Role,Regular,base
1247,planning.send,Send Planning,Transient,base
1243,planning.slot,Planning Shift,Regular,base
1246,planning.slot.template,Shift Template,Regular,base
210,portal.mixin,Portal Mixin,Regular,base
211,portal.share,Portal Sharing,Transient,base
212,portal.wizard,Grant Portal Access,Transient,base
213,portal.wizard.user,Portal User Config,Transient,base
1798,privacy.log,Privacy Log,Regular,base
1799,privacy.lookup.wizard,Privacy Lookup Wizard,Transient,base
1800,privacy.lookup.wizard.line,Privacy Lookup Wizard Line,Transient,base
236,procurement.group,Procurement Group,Regular,base
196,product.attribute,Product Attribute,Regular,base
3067,product.attribute.category,product.attribute.category,Regular,base
396,product.attribute.custom.value,Product Attribute Custom Value,Regular,base
197,product.attribute.value,Attribute Value,Regular,base
1889,product.catalog.mixin,Product Catalog Mixin,Regular,base
192,product.category,Product Category,Regular,base
1890,product.document,Product Document,Regular,base
1340,product.image,Product Image,Regular,base
